07 Dec 2018 10:17:34.814 INFO  [main] - [Main] - Создан пользователь: Зарема id=0 balance=1096
07 Dec 2018 10:17:34.818 INFO  [main] - [Main] - Создан пользователь: Дита id=1 balance=209
07 Dec 2018 10:17:34.818 INFO  [main] - [Main] - Создан пользователь: Алиса id=2 balance=3622
07 Dec 2018 10:17:34.818 INFO  [main] - [Main] - Создан пользователь: Варфоломей id=3 balance=6797
07 Dec 2018 10:17:34.818 INFO  [main] - [Main] - Создан пользователь: Айгерим id=4 balance=5320
07 Dec 2018 10:17:34.818 INFO  [main] - [Main] - Создан пользователь: Денис id=5 balance=8624
07 Dec 2018 10:17:34.818 INFO  [main] - [Main] - Создан пользователь: Весна id=6 balance=5415
07 Dec 2018 10:17:34.818 INFO  [main] - [Main] - Создан пользователь: Альбина id=7 balance=5567
07 Dec 2018 10:17:34.818 INFO  [main] - [Main] - Создан пользователь: Генриетта id=8 balance=3857
07 Dec 2018 10:17:34.818 INFO  [main] - [Main] - Создан пользователь: Антип id=9 balance=3018
07 Dec 2018 10:17:34.818 INFO  [main] - [Main] - Создан пользователь: Габриэлла id=10 balance=1654
07 Dec 2018 10:17:34.819 INFO  [main] - [Main] - Создан пользователь: Ветта id=11 balance=4908
07 Dec 2018 10:17:34.819 INFO  [main] - [Main] - Создан пользователь: Айрат id=12 balance=1570
07 Dec 2018 10:17:34.819 INFO  [main] - [Main] - Создан пользователь: Ванда id=13 balance=1527
07 Dec 2018 10:17:34.819 INFO  [main] - [Main] - Создан пользователь: Гаспар id=14 balance=6629
07 Dec 2018 10:17:34.819 INFO  [main] - [Main] - Создан пользователь: Авигея id=15 balance=152
07 Dec 2018 10:17:34.819 INFO  [main] - [Main] - Создан пользователь: Авдотья id=16 balance=25
07 Dec 2018 10:17:34.819 INFO  [main] - [Main] - Создан пользователь: Айдар id=17 balance=3040
07 Dec 2018 10:17:34.819 INFO  [main] - [Main] - Создан пользователь: Анжела id=18 balance=8879
07 Dec 2018 10:17:34.819 INFO  [main] - [Main] - Создан пользователь: Василиса id=19 balance=5042
07 Dec 2018 10:17:34.819 INFO  [main] - [Main] - Создан пользователь: Замира id=20 balance=9002
07 Dec 2018 10:17:34.819 INFO  [main] - [Main] - Создан пользователь: Афанасия id=21 balance=6225
07 Dec 2018 10:17:34.819 INFO  [main] - [Main] - Создан пользователь: Ивета id=22 balance=1226
07 Dec 2018 10:17:34.819 INFO  [main] - [Main] - Создан пользователь: Витольд id=23 balance=7979
07 Dec 2018 10:17:34.819 INFO  [main] - [Main] - Создан пользователь: Геральд id=24 balance=6504
07 Dec 2018 10:17:34.819 INFO  [main] - [Main] - Создан пользователь: Вацлав id=25 balance=1386
07 Dec 2018 10:17:34.819 INFO  [main] - [Main] - Создан пользователь: Валерьян id=26 balance=6844
07 Dec 2018 10:17:34.819 INFO  [main] - [Main] - Создан пользователь: Анжиолетта id=27 balance=1569
07 Dec 2018 10:17:34.819 INFO  [main] - [Main] - Создан пользователь: Гаянэ id=28 balance=4195
07 Dec 2018 10:17:34.819 INFO  [main] - [Main] - Создан пользователь: Агата id=29 balance=6847
07 Dec 2018 10:17:34.824 INFO  [main] - [Main] - Общая сумма до транзакций: 128728
--------
07 Dec 2018 10:17:34.832 INFO  [pool-1-thread-1] - [service.Transaction] - Успешный перевод на сумму 1862 от Гаянэ к Антип! Остаток: Гаянэ-2333, Антип-4880
07 Dec 2018 10:17:34.832 INFO  [pool-1-thread-3] - [service.Transaction] - Успешный перевод на сумму 451 от Зарема к Афанасия! Остаток: Зарема-645, Афанасия-6676
07 Dec 2018 10:17:34.832 INFO  [pool-1-thread-3] - [service.Transaction] - Успешный перевод на сумму 1394 от Алиса к Айрат! Остаток: Алиса-2228, Айрат-2964
07 Dec 2018 10:17:34.832 INFO  [pool-1-thread-4] - [service.Transaction] - Успешный перевод на сумму 48 от Василиса к Вацлав! Остаток: Василиса-4994, Вацлав-1434
07 Dec 2018 10:17:34.832 INFO  [pool-1-thread-3] - [service.Transaction] - Успешный перевод на сумму 677 от Анжела к Габриэлла! Остаток: Анжела-8202, Габриэлла-2331
07 Dec 2018 10:17:34.832 INFO  [pool-1-thread-4] - [service.Transaction] - Успешный перевод на сумму 666 от Агата к Дита! Остаток: Агата-6181, Дита-875
07 Dec 2018 10:17:34.832 INFO  [pool-1-thread-3] - [service.Transaction] - Успешный перевод на сумму 1641 от Весна к Замира! Остаток: Весна-3774, Замира-10643
07 Dec 2018 10:17:34.832 INFO  [pool-1-thread-4] - [service.Transaction] - Успешный перевод на сумму 1172 от Валерьян к Альбина! Остаток: Валерьян-5672, Альбина-6739
07 Dec 2018 10:17:34.832 INFO  [pool-1-thread-3] - [service.Transaction] - Успешный перевод на сумму 113 от Афанасия к Денис! Остаток: Афанасия-6563, Денис-8737
07 Dec 2018 10:17:34.832 INFO  [pool-1-thread-4] - [service.Transaction] - Успешный перевод на сумму 1552 от Айгерим к Ванда! Остаток: Айгерим-3768, Ванда-3079
07 Dec 2018 10:17:34.833 INFO  [pool-1-thread-3] - [service.Transaction] - Успешный перевод на сумму 1335 от Айгерим к Ванда! Остаток: Айгерим-2433, Ванда-4414
07 Dec 2018 10:17:34.833 INFO  [pool-1-thread-1] - [service.Transaction] - Успешный перевод на сумму 169 от Зарема к Авигея! Остаток: Зарема-476, Авигея-321
07 Dec 2018 10:17:34.833 INFO  [pool-1-thread-4] - [service.Transaction] - Успешный перевод на сумму 102 от Айдар к Габриэлла! Остаток: Айдар-2938, Габриэлла-2433
07 Dec 2018 10:17:34.833 WARN  [pool-1-thread-2] - [service.Transaction] - Недостаточно средств на счете 15 пользователя Авигея
07 Dec 2018 10:17:34.833 INFO  [pool-1-thread-3] - [service.Transaction] - Успешный перевод на сумму 468 от Гаспар к Габриэлла! Остаток: Гаспар-6161, Габриэлла-2901
07 Dec 2018 10:17:34.833 INFO  [pool-1-thread-1] - [service.Transaction] - Успешный перевод на сумму 937 от Василиса к Габриэлла! Остаток: Василиса-4057, Габриэлла-3838
07 Dec 2018 10:17:34.833 WARN  [pool-1-thread-3] - [service.Transaction] - Недостаточно средств на счете 0 пользователя Зарема
07 Dec 2018 10:17:34.833 WARN  [pool-1-thread-3] - [service.Transaction] - Недостаточно средств на счете 0 пользователя Зарема
07 Dec 2018 10:17:34.833 INFO  [pool-1-thread-4] - [service.Transaction] - Успешный перевод на сумму 1326 от Альбина к Денис! Остаток: Альбина-5413, Денис-10063
07 Dec 2018 10:17:34.833 INFO  [pool-1-thread-2] - [service.Transaction] - Успешный перевод на сумму 140 от Агата к Василиса! Остаток: Агата-6041, Василиса-4197
07 Dec 2018 10:17:34.833 ERROR [pool-1-thread-2] - [utilities.DBUtility] - Ошибка при попытке получить пользователя: src\main\java\accounts\31 (The system cannot find the file specified)
07 Dec 2018 10:17:34.833 INFO  [pool-1-thread-1] - [service.Transaction] - Успешный перевод на сумму 364 от Анжела к Авдотья! Остаток: Анжела-7838, Авдотья-389
07 Dec 2018 10:17:34.833 INFO  [pool-1-thread-2] - [service.Transaction] - Успешный перевод на сумму 151 от Валерьян к Алиса! Остаток: Валерьян-5521, Алиса-2379
07 Dec 2018 10:17:34.833 INFO  [pool-1-thread-2] - [service.Transaction] - Успешный перевод на сумму 960 от Айрат к Витольд! Остаток: Айрат-2004, Витольд-8939
07 Dec 2018 10:17:34.833 ERROR [pool-1-thread-4] - [utilities.DBUtility] - Ошибка при попытке получить пользователя: src\main\java\accounts\30 (The system cannot find the file specified)
07 Dec 2018 10:17:34.833 INFO  [pool-1-thread-2] - [service.Transaction] - Успешный перевод на сумму 294 от Айдар к Василиса! Остаток: Айдар-2644, Василиса-4491
07 Dec 2018 10:17:34.833 INFO  [pool-1-thread-4] - [service.Transaction] - Успешный перевод на сумму 272 от Генриетта к Замира! Остаток: Генриетта-3585, Замира-10915
07 Dec 2018 10:17:34.833 INFO  [pool-1-thread-2] - [service.Transaction] - Успешный перевод на сумму 1375 от Альбина к Ветта! Остаток: Альбина-4038, Ветта-6283
07 Dec 2018 10:17:34.833 WARN  [pool-1-thread-3] - [service.Transaction] - Недостаточно средств на счете 22 пользователя Ивета
07 Dec 2018 10:17:34.833 ERROR [pool-1-thread-1] - [utilities.DBUtility] - Ошибка при попытке получить пользователя: src\main\java\accounts\31 (The system cannot find the file specified)
07 Dec 2018 10:17:34.834 INFO  [pool-1-thread-3] - [service.Transaction] - Успешный перевод на сумму 1997 от Ванда к Вацлав! Остаток: Ванда-2417, Вацлав-3431
07 Dec 2018 10:17:34.834 INFO  [pool-1-thread-1] - [service.Transaction] - Успешный перевод на сумму 972 от Айгерим к Афанасия! Остаток: Айгерим-1461, Афанасия-7535
07 Dec 2018 10:17:34.834 INFO  [pool-1-thread-3] - [service.Transaction] - Успешный перевод на сумму 574 от Варфоломей к Ветта! Остаток: Варфоломей-6223, Ветта-6857
